DieId,Pass,HBIN,SBIN,DieLocation
d45,0,HBIN_3,SBIN_PWR_ERR,"-131.90,-12.95"
d46,0,HBIN_2,SBIN_OPEN_PAD,"-131.90,-8.65"
d47,1,HBIN_1,SBIN_PASS,"-131.90,-4.35"
d48,1,HBIN_1,SBIN_PASS,"-131.90,-0.05"
d49,0,HBIN_3,SBIN_PWR_ERR,"-131.90,4.25"
d50,0,HBIN_2,SBIN_PROBE_WEAR,"-131.90,8.55"
d51,0,HBIN_2,SBIN_CONT_GND,"-131.90,12.85"
d52,1,HBIN_1,SBIN_PASS,"-131.90,17.15"
d53,0,HBIN_4,SBIN_VTH_DRIFT,"-131.90,21.45"
d54,0,HBIN_3,SBIN_LOGIC_ERR,"-131.90,25.75"
d55,0,HBIN_2,SBIN_CONT_GND,"-131.90,30.05"
d56,0,HBIN_2,SBIN_OPEN_PAD,"-131.90,34.35"
d57,0,HBIN_4,SBIN_VTH_DRIFT,"-131.90,38.65"
d58,0,HBIN_2,SBIN_OPEN_PAD,"-131.90,42.95"
d59,0,HBIN_3,SBIN_PWR_ERR,"-131.90,47.25"
d60,0,HBIN_2,SBIN_CONT_GND,"-131.90,51.55"
d61,0,HBIN_3,SBIN_PWR_ERR,"-131.90,55.85"
d62,1,HBIN_1,SBIN_PASS,"-126.90,-64.55"
d63,0,HBIN_3,SBIN_LOGIC_ERR,"-126.90,-60.25"
d64,1,HBIN_1,SBIN_PASS,"-126.90,-55.95"
d65,0,HBIN_3,SBIN_LOGIC_ERR,"-126.90,-51.65"
d66,0,HBIN_3,SBIN_PWR_ERR,"-126.90,-47.35"
d67,0,HBIN_2,SBIN_PROBE_WEAR,"-126.90,-43.05"
d68,1,HBIN_1,SBIN_PASS,"-126.90,-38.75"
d69,0,HBIN_2,SBIN_OPEN_PAD,"-126.90,-34.45"
d70,0,HBIN_2,SBIN_OPEN_PAD,"-126.90,-30.15"
d71,0,HBIN_2,SBIN_PROBE_WEAR,"-126.90,-25.85"
d72,0,HBIN_2,SBIN_CONT_GND,"-126.90,-21.55"
d73,1,HBIN_1,SBIN_PASS,"-126.90,-17.25"
d74,1,HBIN_1,SBIN_PASS,"-126.90,-12.95"
d75,1,HBIN_1,SBIN_PASS,"-126.90,-8.65"
d76,0,HBIN_2,SBIN_PROBE_WEAR,"-126.90,-4.35"
d77,0,HBIN_3,SBIN_PWR_ERR,"-126.90,-0.05"
d78,0,HBIN_2,SBIN_CONT_GND,"-126.90,4.25"
d79,1,HBIN_1,SBIN_PASS,"-126.90,8.55"
d80,1,HBIN_1,SBIN_PASS,"-126.90,12.85"
d81,0,HBIN_4,SBIN_GAIN_LOW,"-126.90,17.15"
d82,0,HBIN_4,SBIN_VTH_DRIFT,"-126.90,21.45"
d83,0,HBIN_2,SBIN_OPEN_PAD,"-126.90,25.75"
d84,0,HBIN_2,SBIN_PROBE_WEAR,"-126.90,30.05"
d85,0,HBIN_3,SBIN_LOGIC_ERR,"-126.90,34.35"
d86,0,HBIN_4,SBIN_GAIN_LOW,"-126.90,38.65"
d87,1,HBIN_1,SBIN_PASS,"-126.90,42.95"
d88,0,HBIN_2,SBIN_OPEN_PAD,"-126.90,47.25"
d89,0,HBIN_4,SBIN_IDDQ_HIGH,"-126.90,51.55"
d90,1,HBIN_1,SBIN_PASS,"-126.90,55.85"
d91,0,HBIN_4,SBIN_IDDQ_HIGH,"-126.90,60.15"
d92,0,HBIN_4,SBIN_VTH_DRIFT,"-126.90,64.45"
d93,0,HBIN_4,SBIN_IDDQ_HIGH,"-121.90,-73.15"
d94,0,HBIN_2,SBIN_OPEN_PAD,"-121.90,-68.85"
d95,0,HBIN_4,SBIN_IDDQ_HIGH,"-121.90,-64.55"
d96,0,HBIN_2,SBIN_CONT_GND,"-121.90,-60.25"
d97,1,HBIN_1,SBIN_PASS,"-121.90,-55.95"
d98,0,HBIN_2,SBIN_CONT_GND,"-121.90,-51.65"
d99,0,HBIN_2,SBIN_OPEN_PAD,"-121.90,-47.35"
d100,0,HBIN_2,SBIN_PROBE_WEAR,"-121.90,-43.05"
d101,0,HBIN_4,SBIN_IDDQ_HIGH,"-121.90,-38.75"
d102,1,HBIN_1,SBIN_PASS,"-121.90,-34.45"
d103,1,HBIN_1,SBIN_PASS,"-121.90,-30.15"
d104,1,HBIN_1,SBIN_PASS,"-121.90,-25.85"
d105,1,HBIN_1,SBIN_PASS,"-121.90,-21.55"
d106,1,HBIN_1,SBIN_PASS,"-121.90,-17.25"
d107,1,HBIN_1,SBIN_PASS,"-121.90,-12.95"
d108,1,HBIN_1,SBIN_PASS,"-121.90,-8.65"
d109,0,HBIN_2,SBIN_PROBE_WEAR,"-121.90,-4.35"
d110,0,HBIN_3,SBIN_LOGIC_ERR,"-121.90,-0.05"
d111,1,HBIN_1,SBIN_PASS,"-121.90,4.25"
d112,1,HBIN_1,SBIN_PASS,"-121.90,8.55"
d113,0,HBIN_3,SBIN_TIMING_ERR,"-121.90,12.85"
d114,0,HBIN_2,SBIN_PROBE_WEAR,"-121.90,17.15"
d115,1,HBIN_1,SBIN_PASS,"-121.90,21.45"
d116,0,HBIN_3,SBIN_LOGIC_ERR,"-121.90,25.75"
d117,1,HBIN_1,SBIN_PASS,"-121.90,30.05"
d118,1,HBIN_1,SBIN_PASS,"-121.90,34.35"
d119,1,HBIN_1,SBIN_PASS,"-121.90,38.65"
d120,0,HBIN_2,SBIN_OPEN_PAD,"-121.90,42.95"
d121,0,HBIN_3,SBIN_PWR_ERR,"-121.90,47.25"
d122,1,HBIN_1,SBIN_PASS,"-121.90,51.55"
d123,0,HBIN_2,SBIN_CONT_GND,"-121.90,55.85"
d124,1,HBIN_1,SBIN_PASS,"-121.90,60.15"
d125,1,HBIN_1,SBIN_PASS,"-121.90,64.45"
d126,0,HBIN_4,SBIN_VTH_DRIFT,"-121.90,68.75"
d127,0,HBIN_3,SBIN_PWR_ERR,"-121.90,73.05"
d128,0,HBIN_2,SBIN_PROBE_WEAR,"-116.90,-81.75"
d129,0,HBIN_4,SBIN_VTH_DRIFT,"-116.90,-77.45"
d130,1,HBIN_1,SBIN_PASS,"-116.90,-73.15"
d131,0,HBIN_2,SBIN_PROBE_WEAR,"-116.90,-68.85"
d132,0,HBIN_2,SBIN_OPEN_PAD,"-116.90,-64.55"
d133,0,HBIN_3,SBIN_TIMING_ERR,"-116.90,-60.25"
d134,0,HBIN_3,SBIN_PWR_ERR,"-116.90,-55.95"
d135,1,HBIN_1,SBIN_PASS,"-116.90,-51.65"
d136,1,HBIN_1,SBIN_PASS,"-116.90,-47.35"
d137,0,HBIN_2,SBIN_PROBE_WEAR,"-116.90,-43.05"
d138,1,HBIN_1,SBIN_PASS,"-116.90,-38.75"
d139,0,HBIN_2,SBIN_OPEN_PAD,"-116.90,-34.45"
d140,1,HBIN_1,SBIN_PASS,"-116.90,-30.15"
d141,1,HBIN_1,SBIN_PASS,"-116.90,-25.85"
d142,0,HBIN_2,SBIN_OPEN_PAD,"-116.90,-21.55"
d143,1,HBIN_1,SBIN_PASS,"-116.90,-17.25"
d144,0,HBIN_2,SBIN_PROBE_WEAR,"-116.90,-12.95"
d145,1,HBIN_1,SBIN_PASS,"-116.90,-8.65"
d146,1,HBIN_1,SBIN_PASS,"-116.90,-4.35"
d147,0,HBIN_2,SBIN_OPEN_PAD,"-116.90,-0.05"
d148,0,HBIN_2,SBIN_PROBE_WEAR,"-116.90,4.25"
d149,0,HBIN_4,SBIN_IDDQ_HIGH,"-116.90,8.55"
d150,1,HBIN_1,SBIN_PASS,"-116.90,12.85"
d151,1,HBIN_1,SBIN_PASS,"-116.90,17.15"
d152,1,HBIN_1,SBIN_PASS,"-116.90,21.45"
d153,1,HBIN_1,SBIN_PASS,"-116.90,25.75"
d154,0,HBIN_2,SBIN_OPEN_PAD,"-116.90,30.05"
d155,0,HBIN_2,SBIN_OPEN_PAD,"-116.90,34.35"
d156,1,HBIN_1,SBIN_PASS,"-116.90,38.65"
d157,1,HBIN_1,SBIN_PASS,"-116.90,42.95"
d158,1,HBIN_1,SBIN_PASS,"-116.90,47.25"
d159,1,HBIN_1,SBIN_PASS,"-116.90,51.55"
d160,0,HBIN_2,SBIN_CONT_GND,"-116.90,55.85"
d161,0,HBIN_2,SBIN_OPEN_PAD,"-116.90,60.15"
d162,1,HBIN_1,SBIN_PASS,"-116.90,64.45"
d163,1,HBIN_1,SBIN_PASS,"-116.90,68.75"
d164,1,HBIN_1,SBIN_PASS,"-116.90,73.05"
d165,0,HBIN_2,SBIN_OPEN_PAD,"-116.90,77.35"
d166,0,HBIN_2,SBIN_PROBE_WEAR,"-116.90,81.65"
d167,0,HBIN_3,SBIN_PWR_ERR,"-111.90,-90.35"
d168,0,HBIN_2,SBIN_OPEN_PAD,"-111.90,-86.05"
d169,1,HBIN_1,SBIN_PASS,"-111.90,-81.75"
d170,0,HBIN_4,SBIN_IDDQ_HIGH,"-111.90,-77.45"
d171,1,HBIN_1,SBIN_PASS,"-111.90,-73.15"
d172,0,HBIN_2,SBIN_PROBE_WEAR,"-111.90,-68.85"
d173,0,HBIN_3,SBIN_LOGIC_ERR,"-111.90,-64.55"
d174,0,HBIN_2,SBIN_PROBE_WEAR,"-111.90,-60.25"
d175,1,HBIN_1,SBIN_PASS,"-111.90,-55.95"
d176,1,HBIN_1,SBIN_PASS,"-111.90,-51.65"
d177,0,HBIN_2,SBIN_OPEN_PAD,"-111.90,-47.35"
d178,0,HBIN_3,SBIN_TIMING_ERR,"-111.90,-43.05"
d179,1,HBIN_1,SBIN_PASS,"-111.90,-38.75"
d180,1,HBIN_1,SBIN_PASS,"-111.90,-34.45"
d181,0,HBIN_2,SBIN_PROBE_WEAR,"-111.90,-30.15"
d182,1,HBIN_1,SBIN_PASS,"-111.90,-25.85"
d183,0,HBIN_2,SBIN_OPEN_PAD,"-111.90,-21.55"
d184,1,HBIN_1,SBIN_PASS,"-111.90,-17.25"
d185,1,HBIN_1,SBIN_PASS,"-111.90,-12.95"
d186,0,HBIN_2,SBIN_CONT_GND,"-111.90,-8.65"
d187,1,HBIN_1,SBIN_PASS,"-111.90,-4.35"
d188,1,HBIN_1,SBIN_PASS,"-111.90,-0.05"
d189,1,HBIN_1,SBIN_PASS,"-111.90,4.25"
d190,1,HBIN_1,SBIN_PASS,"-111.90,8.55"
d191,1,HBIN_1,SBIN_PASS,"-111.90,12.85"
d192,1,HBIN_1,SBIN_PASS,"-111.90,17.15"
d193,0,HBIN_2,SBIN_CONT_GND,"-111.90,21.45"
d194,1,HBIN_1,SBIN_PASS,"-111.90,25.75"
d195,1,HBIN_1,SBIN_PASS,"-111.90,30.05"
d196,1,HBIN_1,SBIN_PASS,"-111.90,34.35"
d197,1,HBIN_1,SBIN_PASS,"-111.90,38.65"
d198,1,HBIN_1,SBIN_PASS,"-111.90,42.95"
d199,1,HBIN_1,SBIN_PASS,"-111.90,47.25"
d200,1,HBIN_1,SBIN_PASS,"-111.90,51.55"
d201,1,HBIN_1,SBIN_PASS,"-111.90,55.85"
d202,0,HBIN_2,SBIN_CONT_GND,"-111.90,60.15"
d203,1,HBIN_1,SBIN_PASS,"-111.90,64.45"
d204,0,HBIN_3,SBIN_LOGIC_ERR,"-111.90,68.75"
d205,1,HBIN_1,SBIN_PASS,"-111.90,73.05"
d206,1,HBIN_1,SBIN_PASS,"-111.90,77.35"
d207,1,HBIN_1,SBIN_PASS,"-111.90,81.65"
d208,1,HBIN_1,SBIN_PASS,"-111.90,85.95"
d209,0,HBIN_3,SBIN_TIMING_ERR,"-111.90,90.25"
d210,1,HBIN_1,SBIN_PASS,"-106.90,-94.65"
d211,0,HBIN_2,SBIN_CONT_GND,"-106.90,-90.35"
d212,0,HBIN_2,SBIN_CONT_GND,"-106.90,-86.05"
d213,1,HBIN_1,SBIN_PASS,"-106.90,-81.75"
d214,1,HBIN_1,SBIN_PASS,"-106.90,-77.45"
d215,0,HBIN_2,SBIN_CONT_GND,"-106.90,-73.15"
d216,0,HBIN_3,SBIN_PWR_ERR,"-106.90,-68.85"
d217,1,HBIN_1,SBIN_PASS,"-106.90,-64.55"
d218,1,HBIN_1,SBIN_PASS,"-106.90,-60.25"
d219,0,HBIN_2,SBIN_PROBE_WEAR,"-106.90,-55.95"
d220,0,HBIN_2,SBIN_CONT_GND,"-106.90,-51.65"
d221,1,HBIN_1,SBIN_PASS,"-106.90,-47.35"
d222,1,HBIN_1,SBIN_PASS,"-106.90,-43.05"
d223,1,HBIN_1,SBIN_PASS,"-106.90,-38.75"
d224,1,HBIN_1,SBIN_PASS,"-106.90,-34.45"
d225,1,HBIN_1,SBIN_PASS,"-106.90,-30.15"
d226,1,HBIN_1,SBIN_PASS,"-106.90,-25.85"
d227,1,HBIN_1,SBIN_PASS,"-106.90,-21.55"
d228,1,HBIN_1,SBIN_PASS,"-106.90,-17.25"
d229,1,HBIN_1,SBIN_PASS,"-106.90,-12.95"
d230,1,HBIN_1,SBIN_PASS,"-106.90,-8.65"
d231,1,HBIN_1,SBIN_PASS,"-106.90,-4.35"
d232,1,HBIN_1,SBIN_PASS,"-106.90,-0.05"
d233,1,HBIN_1,SBIN_PASS,"-106.90,4.25"
d234,1,HBIN_1,SBIN_PASS,"-106.90,8.55"
d235,0,HBIN_2,SBIN_OPEN_PAD,"-106.90,12.85"
d236,1,HBIN_1,SBIN_PASS,"-106.90,17.15"
d237,1,HBIN_1,SBIN_PASS,"-106.90,21.45"
d238,1,HBIN_1,SBIN_PASS,"-106.90,25.75"
d239,1,HBIN_1,SBIN_PASS,"-106.90,30.05"
d240,1,HBIN_1,SBIN_PASS,"-106.90,34.35"
d241,0,HBIN_4,SBIN_GAIN_LOW,"-106.90,38.65"
d242,1,HBIN_1,SBIN_PASS,"-106.90,42.95"
d243,0,HBIN_3,SBIN_LOGIC_ERR,"-106.90,47.25"
d244,0,HBIN_4,SBIN_VTH_DRIFT,"-106.90,51.55"
d245,1,HBIN_1,SBIN_PASS,"-106.90,55.85"
d246,0,HBIN_2,SBIN_OPEN_PAD,"-106.90,60.15"
d247,0,HBIN_4,SBIN_IDDQ_HIGH,"-106.90,64.45"
d248,1,HBIN_1,SBIN_PASS,"-106.90,68.75"
d249,1,HBIN_1,SBIN_PASS,"-106.90,73.05"
d250,1,HBIN_1,SBIN_PASS,"-106.90,77.35"
d251,1,HBIN_1,SBIN_PASS,"-106.90,81.65"
d252,0,HBIN_4,SBIN_VTH_DRIFT,"-106.90,85.95"
d253,0,HBIN_2,SBIN_CONT_GND,"-106.90,90.25"
d254,0,HBIN_2,SBIN_OPEN_PAD,"-106.90,94.55"
d255,1,HBIN_1,SBIN_PASS,"-101.90,-98.95"
d256,0,HBIN_2,SBIN_PROBE_WEAR,"-101.90,-94.65"
d257,1,HBIN_1,SBIN_PASS,"-101.90,-90.35"
d258,0,HBIN_3,SBIN_TIMING_ERR,"-101.90,-86.05"
d259,0,HBIN_2,SBIN_CONT_GND,"-101.90,-81.75"
d260,1,HBIN_1,SBIN_PASS,"-101.90,-77.45"
d261,1,HBIN_1,SBIN_PASS,"-101.90,-73.15"
d262,1,HBIN_1,SBIN_PASS,"-101.90,-68.85"
d263,0,HBIN_4,SBIN_VTH_DRIFT,"-101.90,-64.55"
d264,1,HBIN_1,SBIN_PASS,"-101.90,-60.25"
d265,1,HBIN_1,SBIN_PASS,"-101.90,-55.95"
d266,1,HBIN_1,SBIN_PASS,"-101.90,-51.65"
d267,0,HBIN_4,SBIN_IDDQ_HIGH,"-101.90,-47.35"
d268,1,HBIN_1,SBIN_PASS,"-101.90,-43.05"
d269,1,HBIN_1,SBIN_PASS,"-101.90,-38.75"
d270,1,HBIN_1,SBIN_PASS,"-101.90,-34.45"
d271,1,HBIN_1,SBIN_PASS,"-101.90,-30.15"
d272,1,HBIN_1,SBIN_PASS,"-101.90,-25.85"
d273,1,HBIN_1,SBIN_PASS,"-101.90,-21.55"
d274,1,HBIN_1,SBIN_PASS,"-101.90,-17.25"
d275,1,HBIN_1,SBIN_PASS,"-101.90,-12.95"
d276,1,HBIN_1,SBIN_PASS,"-101.90,-8.65"
d277,0,HBIN_2,SBIN_PROBE_WEAR,"-101.90,-4.35"
d278,0,HBIN_2,SBIN_PROBE_WEAR,"-101.90,-0.05"
d279,1,HBIN_1,SBIN_PASS,"-101.90,4.25"
d280,0,HBIN_2,SBIN_PROBE_WEAR,"-101.90,8.55"
d281,1,HBIN_1,SBIN_PASS,"-101.90,12.85"
d282,1,HBIN_1,SBIN_PASS,"-101.90,17.15"
d283,1,HBIN_1,SBIN_PASS,"-101.90,21.45"
d284,0,HBIN_4,SBIN_VTH_DRIFT,"-101.90,25.75"
d285,0,HBIN_2,SBIN_PROBE_WEAR,"-101.90,30.05"
d286,1,HBIN_1,SBIN_PASS,"-101.90,34.35"
d287,1,HBIN_1,SBIN_PASS,"-101.90,38.65"
d288,0,HBIN_3,SBIN_TIMING_ERR,"-101.90,42.95"
d289,1,HBIN_1,SBIN_PASS,"-101.90,47.25"
d290,1,HBIN_1,SBIN_PASS,"-101.90,51.55"
d291,0,HBIN_3,SBIN_TIMING_ERR,"-101.90,55.85"
d292,0,HBIN_3,SBIN_LOGIC_ERR,"-101.90,60.15"
d293,0,HBIN_4,SBIN_VTH_DRIFT,"-101.90,64.45"
d294,1,HBIN_1,SBIN_PASS,"-101.90,68.75"
d295,1,HBIN_1,SBIN_PASS,"-101.90,73.05"
d296,1,HBIN_1,SBIN_PASS,"-101.90,77.35"
d297,1,HBIN_1,SBIN_PASS,"-101.90,81.65"
d298,0,HBIN_2,SBIN_PROBE_WEAR,"-101.90,85.95"
d299,0,HBIN_2,SBIN_OPEN_PAD,"-101.90,90.25"
d300,0,HBIN_3,SBIN_TIMING_ERR,"-101.90,94.55"
d301,0,HBIN_2,SBIN_OPEN_PAD,"-101.90,98.85"
d302,0,HBIN_2,SBIN_OPEN_PAD,"-96.90,-103.25"
d303,0,HBIN_2,SBIN_OPEN_PAD,"-96.90,-98.95"
d304,1,HBIN_1,SBIN_PASS,"-96.90,-94.65"
d305,1,HBIN_1,SBIN_PASS,"-96.90,-90.35"
d306,0,HBIN_2,SBIN_PROBE_WEAR,"-96.90,-86.05"
d307,1,HBIN_1,SBIN_PASS,"-96.90,-81.75"
d308,0,HBIN_4,SBIN_GAIN_LOW,"-96.90,-77.45"
d309,0,HBIN_4,SBIN_VTH_DRIFT,"-96.90,-73.15"
d310,1,HBIN_1,SBIN_PASS,"-96.90,-68.85"
d311,1,HBIN_1,SBIN_PASS,"-96.90,-64.55"
d312,0,HBIN_3,SBIN_LOGIC_ERR,"-96.90,-60.25"
d313,0,HBIN_3,SBIN_TIMING_ERR,"-96.90,-55.95"
d314,1,HBIN_1,SBIN_PASS,"-96.90,-51.65"
d315,1,HBIN_1,SBIN_PASS,"-96.90,-47.35"
d316,1,HBIN_1,SBIN_PASS,"-96.90,-43.05"
d317,1,HBIN_1,SBIN_PASS,"-96.90,-38.75"
d318,0,HBIN_2,SBIN_PROBE_WEAR,"-96.90,-34.45"
d319,0,HBIN_2,SBIN_OPEN_PAD,"-96.90,-30.15"
d320,1,HBIN_1,SBIN_PASS,"-96.90,-25.85"
d321,0,HBIN_2,SBIN_CONT_GND,"-96.90,-21.55"
d322,0,HBIN_4,SBIN_GAIN_LOW,"-96.90,-17.25"
d323,1,HBIN_1,SBIN_PASS,"-96.90,-12.95"
d324,1,HBIN_1,SBIN_PASS,"-96.90,-8.65"
d325,1,HBIN_1,SBIN_PASS,"-96.90,-4.35"
d326,1,HBIN_1,SBIN_PASS,"-96.90,-0.05"
d327,1,HBIN_1,SBIN_PASS,"-96.90,4.25"
d328,1,HBIN_1,SBIN_PASS,"-96.90,8.55"
d329,1,HBIN_1,SBIN_PASS,"-96.90,12.85"
d330,1,HBIN_1,SBIN_PASS,"-96.90,17.15"
d331,0,HBIN_2,SBIN_PROBE_WEAR,"-96.90,21.45"
d332,1,HBIN_1,SBIN_PASS,"-96.90,25.75"
d333,0,HBIN_2,SBIN_OPEN_PAD,"-96.90,30.05"
d334,1,HBIN_1,SBIN_PASS,"-96.90,34.35"
d335,0,HBIN_2,SBIN_CONT_GND,"-96.90,38.65"
d336,1,HBIN_1,SBIN_PASS,"-96.90,42.95"
d337,1,HBIN_1,SBIN_PASS,"-96.90,47.25"
d338,0,HBIN_2,SBIN_PROBE_WEAR,"-96.90,51.55"
d339,0,HBIN_3,SBIN_TIMING_ERR,"-96.90,55.85"
d340,0,HBIN_2,SBIN_PROBE_WEAR,"-96.90,60.15"
d341,1,HBIN_1,SBIN_PASS,"-96.90,64.45"
d342,0,HBIN_2,SBIN_PROBE_WEAR,"-96.90,68.75"
d343,0,HBIN_3,SBIN_LOGIC_ERR,"-96.90,73.05"
d344,1,HBIN_1,SBIN_PASS,"-96.90,77.35"
d345,0,HBIN_2,SBIN_PROBE_WEAR,"-96.90,81.65"
d346,0,HBIN_4,SBIN_VTH_DRIFT,"-96.90,85.95"
d347,1,HBIN_1,SBIN_PASS,"-96.90,90.25"
d348,0,HBIN_2,SBIN_PROBE_WEAR,"-96.90,94.55"
d349,1,HBIN_1,SBIN_PASS,"-96.90,98.85"
d350,0,HBIN_2,SBIN_PROBE_WEAR,"-96.90,103.15"
d351,0,HBIN_2,SBIN_CONT_GND,"-91.90,-107.55"
d352,0,HBIN_2,SBIN_CONT_GND,"-91.90,-103.25"
d353,1,HBIN_1,SBIN_PASS,"-91.90,-98.95"
d354,0,HBIN_2,SBIN_OPEN_PAD,"-91.90,-94.65"
d355,0,HBIN_3,SBIN_PWR_ERR,"-91.90,-90.35"
d356,1,HBIN_1,SBIN_PASS,"-91.90,-86.05"
d357,0,HBIN_2,SBIN_CONT_GND,"-91.90,-81.75"
d358,1,HBIN_1,SBIN_PASS,"-91.90,-77.45"
d359,0,HBIN_3,SBIN_TIMING_ERR,"-91.90,-73.15"
d360,1,HBIN_1,SBIN_PASS,"-91.90,-68.85"
d361,0,HBIN_2,SBIN_CONT_GND,"-91.90,-64.55"
d362,0,HBIN_2,SBIN_CONT_GND,"-91.90,-60.25"
d363,1,HBIN_1,SBIN_PASS,"-91.90,-55.95"
d364,1,HBIN_1,SBIN_PASS,"-91.90,-51.65"
d365,1,HBIN_1,SBIN_PASS,"-91.90,-47.35"
d366,1,HBIN_1,SBIN_PASS,"-91.90,-43.05"
d367,1,HBIN_1,SBIN_PASS,"-91.90,-38.75"
d368,1,HBIN_1,SBIN_PASS,"-91.90,-34.45"
d369,1,HBIN_1,SBIN_PASS,"-91.90,-30.15"
d370,1,HBIN_1,SBIN_PASS,"-91.90,-25.85"
d371,1,HBIN_1,SBIN_PASS,"-91.90,-21.55"
d372,1,HBIN_1,SBIN_PASS,"-91.90,-17.25"
d373,1,HBIN_1,SBIN_PASS,"-91.90,-12.95"
d374,1,HBIN_1,SBIN_PASS,"-91.90,-8.65"
d375,1,HBIN_1,SBIN_PASS,"-91.90,-4.35"
d376,1,HBIN_1,SBIN_PASS,"-91.90,-0.05"
d377,1,HBIN_1,SBIN_PASS,"-91.90,4.25"
d378,1,HBIN_1,SBIN_PASS,"-91.90,8.55"
d379,1,HBIN_1,SBIN_PASS,"-91.90,12.85"
d380,1,HBIN_1,SBIN_PASS,"-91.90,17.15"
d381,1,HBIN_1,SBIN_PASS,"-91.90,21.45"
d382,1,HBIN_1,SBIN_PASS,"-91.90,25.75"
d383,0,HBIN_2,SBIN_PROBE_WEAR,"-91.90,30.05"
d384,1,HBIN_1,SBIN_PASS,"-91.90,34.35"
d385,1,HBIN_1,SBIN_PASS,"-91.90,38.65"
d386,1,HBIN_1,SBIN_PASS,"-91.90,42.95"
d387,0,HBIN_2,SBIN_PROBE_WEAR,"-91.90,47.25"
d388,0,HBIN_3,SBIN_TIMING_ERR,"-91.90,51.55"
d389,0,HBIN_4,SBIN_GAIN_LOW,"-91.90,55.85"
d390,1,HBIN_1,SBIN_PASS,"-91.90,60.15"
d391,1,HBIN_1,SBIN_PASS,"-91.90,64.45"
d392,1,HBIN_1,SBIN_PASS,"-91.90,68.75"
d393,0,HBIN_4,SBIN_IDDQ_HIGH,"-91.90,73.05"
d394,0,HBIN_3,SBIN_TIMING_ERR,"-91.90,77.35"
d395,0,HBIN_4,SBIN_VTH_DRIFT,"-91.90,81.65"
d396,1,HBIN_1,SBIN_PASS,"-91.90,85.95"
d397,1,HBIN_1,SBIN_PASS,"-91.90,90.25"
d398,0,HBIN_3,SBIN_PWR_ERR,"-91.90,94.55"
d399,0,HBIN_2,SBIN_PROBE_WEAR,"-91.90,98.85"
